, Shannon Entropy, Non-Probabilistic Entropy, Hybrid Entropy
Iteration 1, 0.574292, 0.015932, 0.193522
Iteration 2, 0.570867, 0.013897, 0.192257
Iteration 3, 0.568946, 0.013986, 0.188139
Iteration 4, 0.567278, 0.011205, 0.182887
Iteration 5, 0.565542, 0.012283, 0.173737
Iteration 6, 0.562933, 0.010841, 0.162572
Iteration 7, 0.560522, 0.011662, 0.151736
Iteration 8, 0.558121, 0.010741, 0.140438
Iteration 9, 0.555785, 0.011279, 0.129620
Iteration 10, 0.553746, 0.010766, 0.117715
Iteration 11, 0.551807, 0.011260, 0.107298
Iteration 12, 0.549876, 0.010531, 0.097968
Iteration 13, 0.547188, 0.011056, 0.089378
Iteration 14, 0.545286, 0.010350, 0.081780
Iteration 15, 0.542942, 0.011628, 0.075122
Iteration 16, 0.540746, 0.010867, 0.069405
Iteration 17, 0.539067, 0.011381, 0.064241
Iteration 18, 0.537744, 0.010900, 0.059527
Iteration 19, 0.535056, 0.011710, 0.055169
Iteration 20, 0.534195, 0.010889, 0.051228 
